호선명,지하철역,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원
일산,마두,2508,1334,7471,4142,13503,7679,12643,19415,8333,12129,8298,8249,8684,8260,8833,7190,9096,9924,9105,9397,10888,9184,10810,9100,12334,9950,15970,13709,6773,13944,4603,7627,4481,5506,2976,4887
7,마들,8478,1316,19537,3955,51673,6970,45564,9338,22020,8151,14816,7571,13645,8066,13626,8837,12533,9939,11695,10599,11260,13310,11461,15873,10792,21117,9569,37062,5909,38323,4253,19684,3312,17203,2542,13459
경춘,마석,1228,436,5840,2912,12771,5553,8232,6034,5845,4262,4849,3947,4209,3318,5098,3420,4252,4615,4214,4131,4363,4768,5068,4087,5547,6179,6660,7393,3075,10703,2453,5525,2048,3973,1114,2989
5,마장,2170,623,4990,3245,13464,6491,17919,13324,9413,7043,6642,5501,6327,5492,6584,5562,6122,5519,6519,5860,6852,6455,7360,6652,8679,8702,10723,14169,6188,10370,4184,5998,3491,5425,2457,4197
5,마천,5267,235,8137,3963,20659,3963,19103,9649,9254,5991,6508,5418,5864,4777,6482,4817,6299,5157,6004,5612,6088,7471,7314,8537,8044,10393,7629,15484,3462,15157,2506,7787,1994,7688,1061,5961
5,마포,2047,1387,6575,8198,19934,21431,25828,62787,13610,31689,9746,13876,10075,11600,10838,10702,12642,11404,12775,10664,14352,11253,17418,12820,29063,18472,51685,31360,20407,20003,14455,10389,15045,8337,8651,6221
6,마포구청,5706,1647,11722,6656,32837,13652,42285,30514,24604,13541,15255,9810,13579,8845,13453,10697,14131,11326,13633,11647,14178,13801,15765,15299,19153,20230,31658,34061,15874,26339,10367,15789,10037,13927,6458,10969
중앙,망우,7011,843,10684,3061,24544,4760,21095,11523,12562,7326,9306,6183,8836,6757,9342,7164,9176,8312,8604,8503,8371,10831,8995,12636,9549,15496,10307,23947,7582,16693,4915,11113,3987,7858,2466,6964
6,망원,4631,847,9039,4431,22171,7655,31478,27066,18906,25684,13651,16185,13716,17095,15294,19764,16695,21953,16756,22230,17964,24447,20077,25538,23496,29349,31367,40902,21750,30021,16760,14483,16487,13173,11288,9443
경원,망월사,7000,979,11081,3056,22489,3508,21663,10202,12139,8089,9619,6782,8787,6101,8936,8830,8838,7397,8475,8503,8804,9333,8711,11560,8826,14009,8652,20500,4497,20188,3372,11414,2914,9608,2201,7293
분당,망포,3753,2381,14351,6477,37770,17909,34782,34824,15181,12746,9757,6867,9498,6367,10457,7093,10151,7861,9792,8389,11019,9911,14361,12149,23405,17230,33743,31198,16226,33847,12308,20313,9104,14842,6507,11589
분당,매교,2219,713,3299,1757,5980,2892,7066,8101,3529,2699,2573,1944,2328,1829,2333,2314,2355,2390,2566,2485,2516,2745,4129,3742,6086,4869,4434,6566,2125,4380,1273,2958,1062,2650,730,2011
3,매봉,1218,653,4917,8201,11679,19331,13765,57776,9909,32685,7797,10746,7483,8388,8238,8292,9894,8499,10889,7777,12601,8283,15288,8719,28188,11778,54659,16157,20919,11671,12022,6482,12712,5787,6902,4257
분당,매탄권선,2453,548,6936,1350,15244,2914,13644,7274,6497,3249,4061,2249,4122,2431,4104,2758,3980,2922,3847,3194,4486,4323,5241,5010,6630,7798,6614,13248,3610,11961,2456,7538,2244,6055,1669,5087
7,먹골,7072,725,11078,2688,32688,4640,38609,12388,20900,7973,12161,6889,10797,7314,11462,7773,10791,8752,10305,9746,9919,12042,10087,14751,11117,19774,12937,32135,8128,29033,5414,15921,4757,14632,3213,10663
7,면목,11921,1028,20633,5571,51356,8030,62991,21211,33113,11075,18103,10417,15372,11039,15763,12016,16269,12631,14551,14502,13941,18397,15672,23828,16588,30330,17906,48408,13886,45553,8088,25261,6584,22695,4302,16861
4,명동,537,933,1870,11684,2572,34894,3946,86765,5222,50797,6240,27262,8959,23365,11374,21559,15689,22811,18794,21378,23947,20131,32104,18019,47218,18024,84339,16494,39494,9679,30581,4448,25706,2880,11801,1715
5,명일,3967,424,10314,2256,31736,5461,26876,8627,12936,6791,9443,5619,8620,6070,9013,6567,8304,7588,8233,8054,8059,9548,9013,11743,8708,15639,9240,29501,5340,26188,4047,11533,3410,11017,2185,7305
경부,명학,6205,2538,8525,9384,21370,22515,19081,45670,9490,11056,6303,5801,6407,4663,7248,5038,6694,5790,6635,5493,7593,6073,10429,7320,22002,9443,30829,16962,11238,15000,9809,8834,7352,7422,3694,5471
"8,분당",모란,15867,3766,21822,11798,52433,22316,66844,36041,45105,26604,30656,26710,31088,27360,31639,27634,31413,29938,30883,33195,35573,37703,34493,36841,35564,41770,41283,57689,24555,43928,16952,30956,14590,29055,9875,19691
5,목동,7222,1102,17612,5463,50762,11604,60009,25188,27608,18301,17365,12773,16410,11884,16717,12967,16741,16093,16175,15970,16511,19485,17981,24886,21515,36692,24551,68017,13380,49623,10765,26006,10184,22824,9112,17325
8,몽촌토성,1263,1019,3068,5490,7939,7386,11229,19420,7025,10852,4236,5415,4026,4637,4517,4957,4873,5523,5396,5695,6268,5753,9209,6075,11720,7622,16653,11382,7564,8534,5036,5066,5083,4243,3412,3486
3,무악재,1626,371,4221,1866,12611,2893,13375,5004,8192,2592,5067,2558,4170,2886,4173,2935,4154,3257,3655,3691,3444,4187,4124,5672,4762,7232,5388,12951,2457,10994,1769,6218,1462,5369,1080,4110
2,문래,3009,1678,10892,9143,35474,29071,36411,106655,20827,49392,14374,17136,13954,14763,15536,15740,16627,16507,17735,17297,19903,17341,24776,18700,43811,25775,88750,43227,30745,31491,20331,16345,19342,14556,12610,11261
경의,문산,2606,8,7221,2535,13240,7107,11269,12063,6829,4916,5958,5166,5385,5051,6329,6275,6519,4400,6829,5224,6730,8333,7298,6718,9485,7724,9742,11338,4288,9045,3254,7537,2685,5585,1245,3876
8,문정,1996,2664,5732,9558,17911,40335,25000,140681,15566,70885,11317,22115,12184,12500,13502,12788,15917,15111,18340,13082,21575,14462,25528,15087,58332,18180,103206,25358,38972,20668,23627,11062,21131,9643,12229,7618
분당,미금,3169,767,9137,10362,20422,17506,25895,36788,18663,26613,16475,15982,16974,15701,17745,17134,18228,19263,19454,18082,23024,18332,23376,20230,27643,24793,31936,33054,17141,27425,13628,17248,13800,14537,10061,11235
5,미사,3683,38,14545,6725,45660,5891,37926,9128,17748,7879,11283,6566,10202,6350,10400,6288,9906,8626,9058,7875,9843,9956,13264,13719,14262,18409,13091,40679,7738,38188,6481,23097,6404,14923,4849,15029
4,미아,10091,1468,18305,4972,43395,12678,48178,26094,28398,14804,19279,12583,17213,12636,17539,12997,17167,14528,18589,15924,18742,20169,18335,22256,19461,27753,22406,43021,13681,35475,9231,20783,7384,19344,4887,13790
4,미아사거리,13158,2050,32100,7442,83000,15641,91320,29570,50829,29732,32257,22741,30237,22862,29979,24389,30726,26722,30116,30256,31673,36938,34064,41773,33920,56234,36174,91348,27055,73291,27236,40568,15608,35336,10071,25395
안산,반월,3025,896,6601,2576,14832,3291,13072,6133,8009,3227,5586,3009,4933,3415,4916,3508,4969,3885,4488,4315,4324,5503,5249,6218,6097,8172,6191,12508,3798,10334,2760,7294,1929,6042,1102,4526
7,반포,1045,567,2770,6126,6977,10901,9368,18700,6195,15127,4244,6905,4377,6695,5736,7083,6353,6666,6301,6142,7783,6135,11277,5884,13260,7391,15623,9296,10187,6495,7644,3687,8793,3142,6134,2487
5,발산,2867,2154,7527,13251,20901,26157,22014,81244,13432,42536,12395,19345,14547,16941,16292,17982,17153,19401,19283,18083,24344,16981,29511,18165,43950,21660,61638,32538,29539,25338,20516,12865,21163,10292,13436,7204
2,방배,2332,3540,8219,12417,19232,25222,25096,60202,19595,38805,13682,17449,13446,14709,15380,15592,17580,16998,18517,16150,20747,16912,25272,18109,35588,24009,57141,31171,24821,22845,16759,13878,16191,13027,12373,10065
5,방이,1813,778,6180,3523,15977,6909,14201,20340,8080,9875,6028,5595,5870,5278,6649,6516,6765,7438,6790,6861,7507,7754,8116,9503,10226,12413,16001,16618,8029,13113,6043,7173,6950,5200,6425,4769
경원,방학,10452,1521,13236,5126,26955,7974,24659,17157,15210,8754,12393,8427,11075,8674,11374,9354,11641,9439,10836,11263,11223,13668,11461,15855,12500,16646,15583,25518,8291,23233,5782,11946,4512,10787,3145,7312
5,방화,4158,6,9090,3283,23801,4148,20399,11428,10733,6302,7589,4740,7156,4848,7893,5903,7737,6121,7289,6333,7476,7659,8793,8393,8597,10047,8815,16810,4165,17463,3016,10017,2649,8562,1680,6988
장항,배방,637,216,1213,698,1747,1101,1773,1469,1268,1067,815,933,1171,809,1145,1081,1205,1150,1370,923,1162,1155,1249,1397,1824,2138,2061,1692,1214,1947,788,1357,823,1390,580,889
경의,백마,3038,1161,12445,2291,28173,5881,19489,9596,8719,4482,6121,3440,5825,3307,6308,4101,5682,4512,5519,5121,5898,5309,6408,6844,7481,8806,9105,20359,3924,19709,2821,10625,2960,9553,2034,6199
일산,백석,3519,2179,8416,5218,18452,11359,19305,24016,12087,12486,10813,11517,11655,9891,11860,11227,11921,11976,12003,11857,14270,12339,14401,12853,17517,16306,21205,20421,11044,21505,8716,11301,8816,8714,5684,7595
경춘,백양리,20,12,13,83,40,184,114,337,56,110,67,312,141,234,176,145,194,159,274,124,308,119,240,94,350,73,248,97,72,48,67,41,40,31,13,49
경인,백운,6979,1604,12405,3072,25328,3950,22611,8038,12081,6114,8972,4841,8290,5618,8432,6502,7923,6710,7354,6948,7230,8686,7946,10348,8874,13240,8548,22647,4510,20163,3365,12357,2988,10262,1903,8075
6,버티고개,608,216,1581,1141,4136,2508,6177,4962,3683,2765,2510,2058,2261,1900,2607,1905,2305,2325,2411,2322,2948,2576,2838,2839,3888,3704,5204,5389,3006,4339,1742,2756,1458,2548,1012,2057
과천,범계,6117,2872,25410,10335,69679,18316,57261,49547,28155,37005,20257,23321,21370,20061,23526,20365,23430,26056,23211,23793,25985,25083,30489,29303,37742,41712,49865,66365,28974,60677,30968,28740,23176,23500,16638,18148
경춘,별내,894,1392,2238,3773,8604,3642,6713,5046,3831,2548,2737,2026,2363,2200,2612,2323,2562,2214,2630,2759,3258,2951,4479,2678,5711,4670,4732,6549,2267,6288,1985,3481,1624,2012,1410,1831
경부,병점,6181,3639,18959,10232,39107,17760,28192,20300,16153,10092,12848,8386,12642,9260,13928,10191,12872,10849,12733,11937,13831,12262,17559,17322,24902,22367,26836,34019,14363,33463,10681,22072,8869,18076,5935,13165
7,보라매,6070,1554,7413,5801,19436,14887,28149,34922,16092,11984,8828,6455,9196,6308,9009,7490,8879,8203,9061,7611,10879,8702,12923,10059,16526,14712,28548,24244,10138,19493,6773,10886,6274,9933,4355,7421
"6,우이신설",보문,3427,1100,6423,4165,17953,9182,27842,21110,14906,10650,9260,6641,8701,6379,9422,7027,9637,7662,9475,7332,9832,8719,11237,9633,13520,13173,18369,20917,9502,17109,6516,10173,5891,9780,4444,7914
경원,보산,1644,383,2338,847,4331,2065,3082,2337,2605,1544,2071,1155,2013,1540,1999,1544,1918,1705,1876,1695,1838,1889,2453,2185,3036,2425,2510,3095,1479,3722,1127,2533,619,1869,382,1454
분당,보정,726,78,2342,1201,6883,2351,7315,5101,4409,1592,2788,1040,2442,1318,2370,1555,2473,1584,2401,1694,2661,2176,3499,2643,3073,3224,3031,5107,1477,4321,1096,2767,923,2385,695,2140
"8,분당",복정,3435,2157,8838,8190,24967,10424,32006,16207,18515,8643,9287,5933,7811,6088,8333,7603,8437,6496,8260,7435,9465,9054,11264,10476,18013,15961,21396,27095,13048,19678,7998,12051,6036,10443,5323,7815
장항,봉명,944,224,1373,549,2022,3329,1553,2867,1733,1839,1915,1556,1795,1143,1515,998,1097,1418,1624,1217,1898,1105,1455,803,2168,1425,1345,1395,686,1277,519,931,414,722,337,607
92~3단계,봉은사,1193,1102,3978,9435,7693,27748,8009,72416,6347,47914,5954,18278,7892,14701,10073,14116,11890,14133,13524,13562,16388,11287,21394,11408,40940,13401,64748,14585,34281,10576,21542,5675,18937,5198,11607,3420
2,봉천,14831,1443,25669,6204,70839,11709,103362,22321,61387,17586,30773,15840,24588,16675,25636,18215,25948,19720,23405,22655,23370,29967,24264,32446,25981,45961,28679,76367,17180,62744,13057,39129,12216,36548,8756,26664
6,봉화산,4536,1094,13371,2566,42323,5168,34877,10072,15684,5619,10104,4876,8275,4702,8672,6285,8509,6955,7597,7455,7462,8792,7782,10822,8945,15601,8923,26375,4446,25664,3531,14715,2774,11444,2115,9528
경인,부개,8555,2659,14225,4318,33018,5088,25303,8841,13831,5764,10018,5100,9241,5690,8944,6488,8883,7554,8184,7525,7745,9243,9577,12022,9890,14367,9455,27098,5444,22053,3614,12662,3329,11940,2267,8201
경강,부발,707,37,1476,1254,3283,2709,3030,5245,2045,1453,1619,1314,1840,1354,2359,1450,1836,1608,2184,1346,2666,1505,2940,1812,4658,2666,4953,2954,1959,3654,1765,2329,1236,2504,587,1825
경인,부천,32421,4777,37474,11189,92621,17980,90795,36954,49132,34253,35428,30906,35840,30840,38003,35591,37830,38240,35728,41186,37865,42774,40401,50033,44956,67682,49031,104551,32903,91544,27320,47806,25916,43480,19011,30325
7,부천시청,4841,2100,13935,6993,37099,12973,34657,21976,15858,16475,10217,10315,10542,9671,11143,10681,11255,12027,11173,11382,12924,13132,15966,14273,19365,19002,20558,34013,13295,32904,14249,16264,9611,12328,6955,9879
7,부천종합운동장,2904,798,5099,2470,14482,5102,17028,10822,7865,3785,4201,3047,4408,2587,4166,2524,3918,2892,3543,3175,3731,3474,4382,3970,6280,6110,9109,11291,3725,9864,2385,5636,2028,4612,1191,3538
경인,부평,18919,4803,31150,10557,73299,16515,67035,26922,34775,31282,28714,27226,29022,30188,31322,33838,31779,39643,32723,41799,34648,44512,39596,50823,45118,63092,44556,101379,34747,79191,33487,44941,31137,37738,22408,27574
7,부평구청,7655,635,19010,4712,53590,8928,45232,11946,20226,5394,10189,4686,9211,4546,9200,5123,9004,6808,8002,6672,8271,7913,8850,10621,13448,15154,13289,30932,7492,33410,5521,19128,4499,14760,3151,12665
우이신설,북한산보국문,1541,526,5500,1797,15890,4300,19119,7424,10985,4677,7217,4074,6711,4216,7299,4722,7170,4976,6407,5116,7100,6559,7015,7781,7429,10125,7718,17014,4363,14921,3003,8706,2614,7335,1800,5308
우이신설,북한산우이,1082,565,2328,2600,7187,2733,7543,4415,3671,6635,2898,6515,3272,4914,4109,4126,4475,3923,4872,3735,5347,3467,6573,3324,5602,3552,4212,4868,2589,4306,1804,2604,1127,2070,526,1520
"3,6",불광,9337,1091,19591,7298,52125,13467,61290,35948,32753,36752,23766,26722,23520,24341,24821,24742,25939,25879,26802,26852,28253,30308,30141,33310,33336,40565,36064,61634,21598,51154,15437,28452,13980,23610,7945,18332
7,사가정,10898,1426,19942,6463,47624,10333,60676,23223,32774,13409,19169,11740,16448,12442,17888,13265,17121,13843,16171,15529,16133,20367,17452,24076,19969,32484,21021,53604,15314,47015,10740,25393,9431,22838,6262,16506
"2,4",사당,21257,4224,42145,38003,117055,55327,154217,83940,108961,61218,62336,47178,52746,48722,59937,51557,61133,54310,60515,55765,60642,68055,66389,87749,85114,125337,113834,185322,75581,134109,65485,76725,65782,70492,49925,54893
경춘,사릉,2284,1026,5415,2123,15363,5333,10938,6165,5277,2102,3741,2381,3094,2100,3239,2179,3387,2133,2691,2868,3030,2516,2936,4510,4631,5236,6490,10509,3069,10136,1407,4554,1322,4376,678,3490
수인,사리,871,47,2831,400,5704,821,5322,1318,3220,876,3127,1098,3205,1299,3313,1754,3522,2167,2940,2191,2890,3149,2763,3953,2793,4055,2495,7486,1709,5372,1117,3592,899,3490,704,2860
9,사평,716,195,2150,2481,7135,3906,7052,5689,4160,2842,2773,1929,2696,2246,3121,2697,3240,2999,3265,3031,3536,3053,5128,3758,5565,5121,5667,7891,3512,6148,1978,3162,1345,2792,1037,1958
안산,산본,7613,1764,20469,5916,48240,12791,44351,24853,20292,17548,15389,15087,15130,13670,16548,15229,16334,17321,15616,17833,16458,18879,17817,21428,20182,29791,25261,50335,16630,47431,13137,25288,12540,19762,9626,14176
8,산성,5152,658,8946,2412,22265,4338,25478,7351,14641,5421,8504,5397,7192,4928,7013,5811,7403,6017,7193,6102,6813,8217,8083,9963,8578,12661,7332,21645,4114,18792,2774,11692,2260,10493,1458,8413
"4,6",삼각지,1413,911,4017,7382,9615,19217,13146,39733,9354,16260,6278,9280,7260,7810,8632,8267,9559,8360,9768,8121,11550,8342,14561,9385,24035,12544,38154,17719,16823,12157,11320,7229,11044,6830,7168,5763
경강,삼동,834,93,2852,678,9238,1807,10914,1944,4643,975,2610,755,1739,1055,1922,1170,2017,1322,1543,1786,1525,1881,1604,2918,2412,4408,2607,7169,1280,6728,784,3839,569,3503,266,2164
7,삼산체육관,2448,237,8465,1251,20131,2387,17914,4298,8111,2485,4686,1894,4399,2405,4435,3119,4109,3020,3900,3513,3875,4079,4621,5514,4389,8173,4129,14858,2525,13655,1673,7742,1453,6321,992,4952
2,삼성,4573,4612,6183,42985,12925,112272,17125,260961,15970,184711,16974,69331,23715,43639,29077,39714,35810,45060,44714,38409,57444,34654,77536,32507,143601,34770,223279,39944,122479,23104,85521,12332,65182,10355,37647,6320
92~3단계,삼성중앙,564,362,1983,3991,4059,12069,5005,33020,4022,23359,3527,8121,3914,4569,4595,4725,5268,5491,5903,4451,6990,5015,8937,4705,16876,6037,31842,8457,13716,6049,7756,3456,6349,3003,3910,2119
일산,삼송,6333,1338,22138,12651,59760,12555,58455,22666,29447,14194,19799,11617,18450,13223,17477,16667,17283,16870,15927,16830,16681,21602,21322,23121,24144,30890,23801,54734,15298,46035,11454,27585,9368,21914,9846,17017
우이신설,삼양,1111,280,2285,694,5916,1250,6251,3128,3953,2080,3001,2013,2645,2146,2648,2244,2654,2386,2386,2720,2405,3666,2341,3938,2329,3946,2093,5847,1513,5198,998,2938,677,2599,441,1569
우이신설,삼양사거리,1080,220,2471,744,5950,1706,7043,3577,4748,2627,3478,2512,3151,2813,3265,2894,3468,2916,3270,3279,3269,3985,2799,4382,2806,4520,2731,6753,2215,5397,1386,3064,990,2515,770,1734
92~3단계,삼전,3111,377,5315,2318,14799,3330,22760,8216,14424,5768,7214,4146,6054,4128,6432,4746,6742,5115,6121,5804,6187,6156,7155,7389,7624,11948,9811,19188,5651,17088,4429,9714,3504,8963,2913,7075
분당,상갈,2472,413,7199,2091,15530,5583,16212,7185,8561,3704,5691,3115,4891,3053,5039,3521,4906,4343,4427,4267,4718,4794,5515,6340,7282,9212,8122,13871,4841,12535,3127,8525,3355,7266,1438,5525
4,상계,11575,227,31357,6259,76660,11605,67808,17553,34242,14082,22655,12802,19675,12754,20315,15261,20181,15460,19024,16696,18864,20793,19151,25512,19022,33292,19181,56059,12773,54658,8985,30530,8164,27121,7833,20837
7,상도,3944,1490,9231,6412,26316,7446,36475,15277,20236,12062,12095,8344,10509,7828,10885,8461,11163,9725,10607,9548,10934,11012,13554,13033,15802,18570,16322,30687,8438,23266,6994,14242,6676,13132,6039,10138
7,상동,3654,1689,13046,4690,33099,9357,30527,24276,13952,24138,9964,11144,10616,10938,11470,11991,11165,13456,11951,14203,13622,13569,16549,15303,19024,21471,25003,33857,14058,31319,11837,16072,12538,11996,10415,9598
안산,상록수,13902,2694,30268,7826,64600,12051,59185,17905,28453,12389,19578,9559,16915,10424,17889,11700,16466,14007,14917,14395,14244,16717,16092,21419,19852,31613,19691,57215,13318,51165,10206,32664,8801,28555,5677,19988
"7,중앙",상봉,15930,2185,25072,8504,61941,16172,80369,36411,41144,23578,24215,16352,20954,15963,23100,18458,22115,20983,22286,21360,22467,25070,25338,29024,31642,40574,36188,68131,24989,61101,17923,33953,16336,28600,10885,22277
6,상수,1391,651,3215,2305,7001,5285,10440,19727,6812,15124,4660,10669,4746,9905,6257,10150,7237,12060,7831,10815,8425,10737,10090,12557,14681,15362,21007,20554,14353,14776,12346,8083,13392,6225,10294,4607
2,상왕십리,5333,477,10982,4616,32144,10641,47989,31519,25995,15744,14827,10522,13663,9520,14225,10568,14560,11951,14018,12171,15095,13403,15182,16827,19042,24816,24010,41902,14760,28495,9570,16588,8412,16794,5792,12017
6,상월곡,4326,519,7711,1682,20801,2746,23773,10965,12568,4902,7414,3760,6225,3956,6215,4451,6323,4613,5864,4750,5543,6366,5964,7488,6904,10369,8667,16283,4883,14330,2494,8642,2011,7824,1593,5973
5,상일동,7318,828,26668,6393,72483,10526,53704,15909,23923,7038,16181,6142,13748,7075,13784,8666,13639,10168,12111,10822,12980,13333,15493,16751,17329,24714,16614,42351,8253,47739,5499,23586,4323,18195,2678,16213
경춘,상천,85,104,272,389,470,424,576,939,481,941,369,1001,513,952,569,704,758,426,1071,430,1190,403,1290,426,920,389,594,386,291,345,108,173,75,172,19,113
6,새절,8432,582,17169,4120,46153,6619,52565,13070,25004,7595,15374,6959,13447,7927,14284,9319,13196,10615,11840,11292,11310,14982,13416,16969,12841,24026,13340,40907,8588,36456,5729,20029,4557,17641,3283,13882
9,샛강,772,750,1587,3843,3353,13036,4651,26076,3302,11817,3205,5662,3513,4768,3773,4252,4631,4513,5242,4929,6113,4049,8208,4672,14742,5705,22314,8322,8906,5271,5791,3136,5750,2395,3456,1739
경의,서강대,417,95,1435,1117,2429,2641,3044,5780,2250,4272,1689,2143,1691,2095,2020,1860,1987,2046,2212,2339,2369,2040,3305,2495,4033,2857,5171,3473,2871,2461,2544,1462,2696,1601,2167,1010
5,서대문,2505,1145,4972,11651,13919,49547,17892,120299,13123,35628,11067,14409,12432,10934,12564,10706,11944,14152,14897,11581,17915,10409,25271,9743,42687,13573,90969,17916,26324,11304,17462,7355,14113,6680,8138,4933
경부,서동탄,1291,7,4344,582,8810,1492,3770,1573,1650,651,1246,592,1256,833,1236,949,1181,887,1064,1133,1372,1402,1458,1536,1681,2484,2227,3734,865,4939,721,2438,484,1533,363,1704
경원,서빙고,867,568,1714,2764,2455,3874,2687,6779,2278,2678,1538,1238,1670,1211,1816,1400,2014,1393,2163,1386,2449,1607,3796,1867,5322,2117,6050,2735,2466,2211,1586,1350,1234,1233,703,923
"1,4,경부,공항철도 1",서울,14542,6705,15987,43111,49328,112937,79743,230122,51132,141728,44471,69301,51563,57964,61266,62150,64319,62250,57619,59195,76477,61388,84368,65049,148464,82296,225738,88748,107140,64476,71895,40190,68581,33970,43086,22782
경의,서울(경의중앙선),949,6,876,4992,1837,18188,2218,30547,1219,10484,995,4351,1303,3057,1903,3020,2212,3539,2750,2172,2830,2243,5558,1931,14447,4221,21395,3167,9184,2344,5510,2086,2929,750,540,79
2,서울대입구,27789,2269,37984,11932,108073,25446,155956,54074,99201,50016,51646,38509,44581,35782,47289,38116,49646,43486,47838,46093,50314,52083,56065,61535,63052,84852,74316,146145,46378,120958,37917,71304,37260,68631,28890,52357
분당,서울숲,2077,463,4622,9447,11459,10883,17796,31494,12198,17723,5933,8895,5372,7920,6438,8856,6971,10822,7812,11344,10164,11918,16739,11437,22685,14411,32539,19717,16964,14532,11339,7594,10054,6374,6380,4814
경부,서정리,2436,7611,6737,5890,9539,9563,8433,10671,5824,4424,5767,4348,6122,3915,7234,5229,6369,5774,6648,5290,6963,5054,9641,8766,15663,9438,14760,10273,8472,11076,5730,6980,3923,6503,1944,5498
2,서초,1133,4365,6336,17919,11392,41106,18018,105902,17590,71683,13972,28206,15150,17708,16234,15993,18692,18743,23430,16023,27931,15421,32750,14941,57321,16363,87218,17292,35839,11594,22629,7723,22083,6535,12420,5097
분당,서현,3920,2596,10272,9741,26724,32051,32007,66318,21700,50393,18354,27648,20977,23961,23557,24310,25082,27787,28324,27682,31445,27047,33320,29170,49387,36380,65361,48556,36849,38421,39002,20298,26795,15817,17872,11965
"6,경원",석계,13307,3921,27512,9438,65721,11414,72643,18604,40574,13626,27633,13096,23170,15589,22938,17988,23346,18962,21587,21562,20890,29186,21238,35436,22651,46614,21603,78723,15713,63962,11955,36045,10646,31889,7760,23464
경부,석수,7291,2604,14563,5891,33803,10881,33683,15769,17643,10363,10523,7791,9113,5609,9129,6526,9237,6679,9058,6971,10385,8552,11956,10260,15584,15892,17063,28330,9704,24432,5907,12798,4720,13464,2862,9512
"8, 9 2~3단계",석촌,5514,724,11820,5186,31177,10585,41619,26975,24627,22250,14996,13096,14331,13492,15461,14809,16126,15679,15535,15559,16206,17957,18429,19616,22294,27848,28640,42682,16655,34303,13579,18563,12946,17774,9945,13159
92~3단계,석촌고분,1967,268,4105,1771,11918,3334,19068,8951,12103,6313,6213,3816,5323,3571,5594,4241,5667,4667,5554,4754,5472,5953,6233,6534,7091,9390,9595,16755,5147,13695,3606,8681,3407,7666,2520,5424
"2,분당",선릉,4524,7077,11164,48177,20100,136744,29183,348265,26876,251866,31143,98059,40978,64270,47922,56527,56954,62264,66569,56311,84705,48618,123358,45999,189082,50740,301772,56596,144271,35687,85145,19676,78203,16856,54624,11889
과천,선바위,1100,1183,5430,8261,15837,19497,20443,23110,12728,13379,7302,6481,6420,5740,7159,6324,7715,5679,7721,5629,8516,6592,10804,7056,19686,10502,27555,15434,14296,12723,8403,7430,6625,6590,3443,5035
9,선유도,1435,982,4159,4791,15474,9621,16710,29922,7394,13407,4874,5149,4895,5008,5758,4870,5983,5873,6207,6211,7295,6508,9337,7015,15081,9343,27182,15830,10913,12404,6206,6182,5271,5240,3663,3879
"9 2~단계,분당",선정릉,1713,1548,5031,9620,10724,24743,13057,89716,10050,73896,8400,26380,9453,15367,11219,14023,12986,15025,15202,14160,18330,12986,23352,13296,40660,15784,78860,18617,43726,13854,22372,8396,19537,8239,13364,6221
경부,성균관대,7604,1565,22859,4541,53960,8090,42675,16731,18082,10906,12731,7731,11494,9261,12709,9361,12646,12043,11934,11278,12293,13559,14684,16408,18741,25834,19300,44954,11428,43047,9221,23686,8722,20584,6885,15013
2,성수,5021,3017,8702,25508,20426,64643,26438,228814,20130,105432,15838,34622,16620,26424,19077,26599,23492,29387,26302,27177,30906,29171,40067,28667,82631,31930,178149,41911,76427,26418,41906,13965,38809,12135,23317,9489
"4,우이신설",성신여대입구,5312,1961,15811,6703,40466,17074,51239,36151,31543,26533,22133,20273,22483,20688,24551,23261,25861,25739,26341,26096,27643,28281,31619,32339,36370,40854,43447,61819,27990,47456,24560,27759,25138,23834,18616,18182
경부,성환,1594,714,2519,1936,4932,9597,4171,10309,3778,5027,3587,3603,4047,3931,4821,5722,5697,5291,5560,4452,5867,4029,7509,4588,12249,4939,9912,6073,4642,4539,4102,3897,2279,3920,1324,3102
경부,세류,3009,761,6066,2638,11259,4085,7504,3952,3828,2436,2878,2130,2795,2234,2663,2294,2622,2425,2558,2519,2927,2505,3693,3753,4850,5127,4707,8532,2940,7706,2368,4603,1972,4450,954,3037
경부,세마,1741,635,4121,1440,7395,2980,5607,5259,4114,1807,2754,1290,2310,1681,2442,1606,2740,2028,2434,2088,2555,1732,3088,2813,4104,3793,5006,6095,2076,5715,1451,3854,1546,3153,737,2580
경강,세종대왕릉,151,6,369,83,689,507,549,562,413,340,367,314,349,416,347,466,359,314,423,459,436,400,507,425,588,512,577,456,279,556,129,365,71,303,37,151
