호선명,지하철역,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원
과천,평촌,3246,2239,16853,8705,46190,29073,37349,74491,19084,28103,13585,12586,12792,10703,13204,11189,13023,14444,13718,12348,16338,11998,18976,15289,32998,21601,55303,37218,22420,36509,16626,18696,14558,14287,10643,11831
경부,평택,6260,2478,11512,7322,20359,13745,17428,17597,13479,14813,12854,11070,12758,13423,13924,13878,14831,14788,14765,15110,15643,15774,18789,18729,22684,21877,22988,25369,16690,20464,15704,14794,10579,11661,6999,8659
경의,풍산,2778,322,8271,1464,19047,3775,14603,6330,7923,4658,5475,3618,5354,3583,5674,4071,5250,4605,5064,4407,5203,5091,5964,6202,5754,8481,6813,15126,3842,12838,3168,9053,3427,7383,1905,4938
7,하계,7094,1398,20829,5525,58893,13689,59693,21158,30015,14955,19867,11052,18993,11614,19627,14254,18241,16179,17761,16407,19729,18112,20820,21608,21593,27010,18891,48182,11534,48247,8463,25225,8825,22631,6887,17362
5,하남풍산,1489,12,5016,2464,16794,3563,10705,6859,5098,5126,3800,4320,3485,4133,3652,3855,3912,3616,3804,4410,4129,4343,5762,6239,7525,6802,8173,12194,4389,12371,2942,6306,3127,4954,1854,4031
7,학동,1851,2280,4306,21626,6913,48255,9024,164307,8438,114819,8325,37948,10169,18128,12344,15316,14286,17705,19336,15122,25425,13806,30376,12539,60967,13830,138554,14605,67820,9961,32497,6134,30425,5249,18307,3384
3,학여울,355,209,1272,1748,2919,2778,3387,5461,2069,2951,1612,1660,1361,1281,1509,1512,1730,1500,1742,1669,2202,1802,2616,1878,3468,2426,4790,3512,2431,2692,1522,1625,1263,1293,813,1125
6,한강진,434,543,1154,6825,2758,16537,4095,27993,3104,22052,2262,11385,2889,9639,3683,8655,4420,11622,5475,8571,8166,9063,14273,9195,19279,11443,25465,13782,18506,9236,13687,3013,15312,2390,12125,1731
경원,한남,1915,681,2464,4359,4034,9685,5032,11777,4011,9760,3976,4733,4133,3587,4103,3832,4237,4750,5069,3621,6202,4391,7254,4432,12274,5442,12696,6481,6521,4670,4361,2669,4500,2882,2979,1810
안산,한대앞,5776,788,13485,3712,24549,6196,20227,12464,10871,8291,8784,6678,9020,6683,9315,7358,8811,8118,8566,8361,8508,9395,9805,11531,11831,14881,13065,23887,7044,20506,6105,13342,5653,10253,4067,8522
4,한성대입구,6335,906,10128,5397,25674,15326,30884,25952,20366,18071,14046,12734,13348,12464,15221,12859,15766,14774,15696,13710,17405,15286,21081,16953,25335,23419,26307,31645,14283,25598,10921,15154,9680,13908,7161,11084
92~3단계,한성백제,634,207,2049,988,5311,1403,6452,4518,3786,2572,2177,1660,1950,1686,2125,1904,2360,1908,2255,2282,2522,2278,3087,2590,3967,3432,5220,5604,2500,4784,1792,2749,1591,2281,1086,1678
2,한양대,858,275,2031,5178,4568,9979,7083,30036,4754,21352,4130,13570,5385,8420,6254,9754,6667,10567,7651,9520,9199,7106,13281,6622,22542,6901,22529,8046,10975,4968,8440,3853,8599,3566,6878,2791
분당,한티,1432,936,5876,7674,15187,18857,17596,41157,10755,34571,8435,19363,10150,14314,12697,15922,13810,19952,13928,14527,16997,14655,21334,15926,29710,22709,36647,26446,23260,19294,25621,10144,14980,8558,16519,6045
"2,6",합정,9668,4095,19512,19193,48298,43557,62718,117406,41352,82336,28955,45158,29478,41808,34170,46380,38884,50535,41727,50416,45931,50582,54732,55644,76069,74599,128541,107614,82721,75945,65268,39240,69706,33590,51247,24657
5,행당,3424,658,9371,2406,26084,4651,35407,8102,16226,5563,9795,4539,8359,4938,8357,5897,8301,6492,7541,6847,7853,8214,7602,10308,8013,14894,8525,27077,5109,18654,3922,10158,3363,9716,2688,7249
경의,행신,3240,695,10306,3658,33004,3801,26239,8337,11171,4975,7063,3496,7083,4463,6796,4992,6527,5833,5464,5401,5604,6683,7503,8842,9387,13634,8127,31539,4636,24228,5090,11310,3569,9732,3248,7986
4,혜화,2616,2363,6057,17741,14886,40925,17439,99230,19240,62342,23885,39081,25564,31295,24634,37297,26707,48085,34766,45058,44580,34678,53889,32254,71929,38952,93161,46859,47889,36761,41956,14337,49349,13487,42454,10258
수인,호구포,1226,711,2749,4261,5452,15133,6014,15315,3308,3094,2766,1782,2893,2004,3337,2219,3039,2402,3295,2606,3565,2843,4157,3549,10354,4566,13031,5759,4067,4847,4751,3025,3378,2837,1264,1836
"2,경의,공항철도 1",홍대입구,14890,3937,22945,16343,57819,34819,69855,101408,46023,102777,32853,64485,36496,64016,45110,78298,52201,88691,56051,88595,65812,91050,81807,94473,110141,112390,144516,153977,108538,107830,102814,55892,114846,44604,94655,32501
3,홍제,8349,1421,19334,8938,50844,10003,58397,21974,34123,14467,22998,13232,20761,13474,21241,14838,20130,16171,19152,17488,19199,21782,21382,24552,23625,31548,22626,52385,12311,44110,8928,24070,6813,22160,4688,14783
우이신설,화계,1781,529,3484,1192,10604,1753,11976,3518,6840,2535,4641,2948,4058,2834,4144,3037,4030,3393,4019,3640,3775,4441,3553,5040,3531,5777,3317,9167,2501,8396,1368,4674,1083,3828,726,2876
5,화곡,19219,1355,34186,9080,98213,12655,121833,24150,56020,20057,33804,15104,28811,15778,29132,18073,28372,20075,24871,22876,24458,28536,25942,36886,29048,53269,30516,98510,18569,79731,13342,45563,11300,39064,7849,30555
6,화랑대,5233,932,17492,2973,51247,5869,45906,9886,20769,5831,11686,4495,9857,5046,10902,5761,9868,6397,8849,6767,8808,9254,10951,10538,11011,16465,9942,31092,5724,28656,3850,15242,3061,13268,2334,10153
경부,화서,5901,1744,16674,5493,33129,4202,22965,7558,9520,4464,6600,3844,6352,4134,5989,4114,5758,5595,5375,5409,5660,6515,7479,7462,9084,14916,8056,24754,4658,21788,3415,12058,2910,10604,2169,7233
경의,화전,556,300,1088,824,2711,1814,2916,3840,1796,2070,1435,1603,1403,1564,1522,1574,1639,1749,1857,1395,1867,1572,2202,1621,3161,2030,3740,2274,1809,2028,1263,1257,1017,1185,681,1142
일산,화정,8962,1235,20764,6044,45604,9685,45847,23541,25089,16027,18821,14190,18841,15834,19623,17452,19775,18106,18670,18961,19308,24264,19576,24300,21825,32240,22970,48741,12932,41469,10753,25281,10946,20598,7638,17300
중앙,회기,10245,3341,17273,11395,46302,23652,55037,40124,34711,24462,26523,20403,26150,18510,27914,20378,27031,24904,28199,23966,32418,26567,34665,27930,43963,37698,37818,55779,22154,46077,17939,28144,17994,29454,13843,23188
경원,회룡,12527,2033,22965,5193,48458,7444,38864,10855,21783,9200,16321,8974,14951,9103,14988,11857,14078,11892,12330,13409,11876,14996,11235,19526,11387,23803,10295,37111,6679,36673,5075,19572,4182,16980,2928,11925
4,회현,1799,737,2855,15571,3955,42634,6032,109974,7106,82490,9808,55754,16005,39371,20406,30798,25125,28338,30848,26241,38444,22276,54024,16984,71045,12870,100347,10569,39315,6074,36357,3486,14183,3900,6991,2948
"6,경의",효창공원앞,2882,743,5759,5895,17446,10292,24687,32004,15250,19165,9360,8608,8733,7858,9550,8074,9738,8674,9892,9061,10817,9275,13073,10925,17593,13899,29537,21368,15002,16199,8449,9758,7218,9313,4942,6531
9,흑석,2845,824,4692,4422,13354,9717,17580,13374,11048,10675,8148,8062,8200,6898,8918,8291,9053,9353,9378,7867,10326,9756,11308,10427,16392,13886,13794,20890,7601,15012,6328,9734,5903,8431,5341,6509
